BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
0,10,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,0,0,0
0,54,0,0,0,0,0,0,0,0,0,0
0,58,0,0,0,0,0,0,0,0,0,0
0,62,0,0,0,0,0,0,0,0,0,0
0,66,0,0,0,0,0,0,0,0,0,0
0,72,0,0,0,0,0,0,0,0,0,0
0,76,0,0,0,0,0,0,0,0,0,0
0,80,0,0,0,0,0,0,0,0,0,0
0,84,0,0,0,0,0,0,0,0,0,0
0,90,0,0,0,0,0,0,0,0,0,0
0,94,0,0,0,0,0,0,0,0,0,0
0,98,0,0,0,0,0,0,0,0,0,0
0,102,0,0,0,0,0,0,0,0,0,0
0,108,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,0,0
0,116,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,0,0
0,126,0,0,0,0,0,0,0,0,0,0
0,130,0,0,0,0,0,0,0,0,0,0
0,134,0,0,0,0,0,0,0,0,0,0
0,138,0,0,0,0,0,0,0,0,0,0
0,144,0,0,0,0,0,0,0,0,0,0
0,148,0,0,0,0,0,0,0,0,0,0
0,152,0,0,0,0,0,0,0,0,0,0
0,156,0,0,0,0,0,0,0,0,0,0
0,162,0,0,0,0,0,0,0,0,0,0
0,166,0,0,0,0,0,0,0,0,0,0
0,170,0,0,0,0,0,0,0,0,0,0
0,174,0,0,0,0,0,0,0,0,0,0
0,206,0,0,0,0,0,0,0,0,0,0
0,210,0,0,0,0,0,0,0,0,0,0
0,214,0,0,0,0,0,0,0,0,0,0
0,218,0,0,0,0,0,0,0,0,0,0
0,224,0,0,0,0,0,0,0,0,0,0
0,228,0,0,0,0,0,0,0,0,0,0
0,232,0,0,0,0,0,0,0,0,0,0
0,236,0,0,0,0,0,0,0,0,0,0
0,242,0,0,0,0,0,0,0,0,0,0
0,246,0,0,0,0,0,0,0,0,0,0
0,250,0,0,0,0,0,0,0,0,0,0
0,254,0,0,0,0,0,0,0,0,0,0
0,260,0,0,0,0,0,0,0,0,0,0
0,264,0,0,0,0,0,0,0,0,0,0
0,268,0,0,0,0,0,0,0,0,0,0
0,272,0,0,0,0,0,0,0,0,0,0
0,278,0,0,0,0,0,0,0,0,0,0
0,282,0,0,0,0,0,0,0,0,0,0
0,286,0,0,0,0,0,0,0,0,0,0
0,290,0,0,0,0,0,0,0,0,0,0
0,296,0,0,0,0,0,0,0,0,0,0
0,300,0,0,0,0,0,0,0,0,0,0
0,304,0,0,0,0,0,0,0,0,0,0
0,308,0,0,0,0,0,0,0,0,0,0
0,314,0,0,0,0,0,0,0,0,0,0
0,318,0,0,0,0,0,0,0,0,0,0
0,322,0,0,0,0,0,0,0,0,0,0
0,326,0,0,0,0,0,0,0,0,0,0
0,332,0,0,0,0,0,0,0,0,0,0
0,336,0,0,0,0,0,0,0,0,0,0
0,340,0,0,0,0,0,0,0,0,0,0
0,344,0,0,0,0,0,0,0,0,0,0
0,350,0,0,0,0,0,0,0,0,0,0
0,354,0,0,0,0,0,0,0,0,0,0
0,358,0,0,0,0,0,0,0,0,0,0
0,362,0,0,0,0,0,0,0,0,0,0
0,394,0,0,1,0,0,0,0,0,0,0
0,398,0,0,1,0,0,0,0,0,0,0
0,402,0,0,1,0,0,0,0,0,0,0
0,406,0,0,1,0,0,0,0,0,0,0
0,412,0,0,1,0,0,0,0,0,0,0
0,416,0,0,1,0,0,0,0,0,0,0
0,420,0,0,1,0,0,0,0,0,0,0
0,424,0,0,1,0,0,0,0,0,0,0
0,430,0,0,1,0,0,0,0,0,0,0
0,434,0,0,1,0,0,0,0,0,0,0
0,438,0,0,1,0,0,0,0,0,0,0
0,442,0,0,1,0,0,0,0,0,0,0
